Indicador;Comunidad autónoma;Grupos de gasto;periodo;Total
TOTAL (Millones de euros);Castilla y León;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2020;181,9
TOTAL (Millones de euros);Castilla y León;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2019;140,7
TOTAL (Millones de euros);Castilla y León;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2018;162,8
TOTAL (Millones de euros);Castilla y León;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2017;151,9
TOTAL (Millones de euros);Castilla y León;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2016;138,3
TOTAL (Millones de euros);Castilla y León;Telefonía móvil y servicios relacionados con Internet;2023;154,7
TOTAL (Millones de euros);Castilla y León;Telefonía móvil y servicios relacionados con Internet;2022;168,8
TOTAL (Millones de euros);Castilla y León;Telefonía móvil y servicios relacionados con Internet;2021;188,0
TOTAL (Millones de euros);Castilla y León;Telefonía móvil y servicios relacionados con Internet;2020;199,2
TOTAL (Millones de euros);Castilla y León;Telefonía móvil y servicios relacionados con Internet;2019;192,3
TOTAL (Millones de euros);Castilla y León;Telefonía móvil y servicios relacionados con Internet;2018;234,4
TOTAL (Millones de euros);Castilla y León;Telefonía móvil y servicios relacionados con Internet;2017;227,2
TOTAL (Millones de euros);Castilla y León;Telefonía móvil y servicios relacionados con Internet;2016;249,9
TOTAL (Millones de euros);Castilla-La Mancha;Libro y publicaciones periódicas;2023;76,3
TOTAL (Millones de euros);Castilla-La Mancha;Libro y publicaciones periódicas;2022;69,0
TOTAL (Millones de euros);Castilla-La Mancha;Libro y publicaciones periódicas;2021;61,3
TOTAL (Millones de euros);Castilla-La Mancha;Libro y publicaciones periódicas;2020;87,2
TOTAL (Millones de euros);Castilla-La Mancha;Libro y publicaciones periódicas;2019;83,2
TOTAL (Millones de euros);Castilla-La Mancha;Libro y publicaciones periódicas;2018;91,2
