Indicador;Comunidad autónoma;Grupo de gasto;periodo;Total
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Publicaciones periódicas;2022;31,3
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Publicaciones periódicas;2021;49,1
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Publicaciones periódicas;2020;32,0
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Publicaciones periódicas;2019;46,6
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Publicaciones periódicas;2018;57,9
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Publicaciones periódicas;2017;66,2
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Publicaciones periódicas;2016;66,9
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Libro;2023;45,0
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Libro;2022;164,3
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Libro;2021;112,6
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Libro;2020;88,5
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Libro;2019;129,3
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Libro;2018;109,7
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Libro;2017;102,4
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Libro;2016;131,3
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Publicaciones periódicas;2023;23,2
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Publicaciones periódicas;2022;25,4
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Publicaciones periódicas;2021;16,5
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Publicaciones periódicas;2020;12,9
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Publicaciones periódicas;2019;22,7
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Publicaciones periódicas;2018;49,0
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Publicaciones periódicas;2017;43,5
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Publicaciones periódicas;2016;51,1
GASTO MEDIO POR HOGAR (Euros);Canarias;Libro;2023;74,2
GASTO MEDIO POR HOGAR (Euros);Canarias;Libro;2022;50,2
GASTO MEDIO POR HOGAR (Euros);Canarias;Libro;2021;58,6
